ArtistID,Popularity,Followers,Alias,Genre
27T030eWyCQRmDyuvr1kxY,75,4949156,Scorpions,"{'album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock'}"
4STHEaNw4mPZ2tzheohgXB,73,3702413,Paul McCartney,"{'album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock'}"
0TnOYISbd1XYRBk9myaseg,85,8781297,Pitbull,"{'dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap'}"
5WUlDfRSoLAfcVSX1WnrxN,87,21178900,Sia,"{'australian dance', 'australian pop', 'pop'}"
20JZFwl6HVl6yg8a4H3ZqK,81,10968090,Panic! At The Disco,{'modern rock'}
72OaDtakiy6yFqkt4TsiFt,71,2235420,Cher,"{'dance pop', 'hollywood', 'new wave pop', 'pop'}"
7jy3rLJdDQY21OgRLCZ9sD,79,9195154,Foo Fighters,"{'alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock'}"
3jOstUTkEu2JkjvRdBA5Gu,76,2475273,Weezer,"{'alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock'}"
2RTUTCvo6onsAnheUk3aL9,73,3409638,3 Doors Down,"{'alternative metal', 'nu metal', 'pop rock', 'post-grunge'}"
5e4Dhzv426EvQe3aDb64jL,73,2348064,Shania Twain,"{'canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop'}"
4pejUc4iciQfgdX6OKulQn,72,2807036,Queens of the Stone Age,"{'alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock'}"
5he5w2lnU9x7JFhnwcekXX,84,7930237,Skrillex,"{'brostep', 'complextro', 'edm', 'electro'}"
6mdiAmATAx73kdxrNrnlao,77,6784828,Iron Maiden,"{'hard rock', 'metal', 'nwobhm', 'rock'}"
6IRouO5mvvfcyxtPDKMYFN,71,2152170,Foreigner,"{'album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock'}"
