ID,Label
414,BMG Deutschland GmbH Sublicensed to Sanctuary Records Group Inc
413,Scorpions Humanity Hour
412,Columbia SevenOne
411,Scorpions Studio Album
410,RCA Deutschland
409,SevenOne Music
408,Capitol Records (US1A)
407,Paul McCartney Catalog
406,Mr.305/Polo Grounds Music/RCA Records
405,AQUA PRODUCTION (TRUSTY MUSIC Inc.)
404,AQUA PRODUCTION
403,Mr. 305 Records
402,Monkey Puzzle records
401,Inertia Music
400,Monkey Puzzle Records/RCA Records
399,Records/Columbia
398,Monkey Puzzle/Atlantic
397,Fueled By Ramen/ADA
396,DCD2 / Fueled By Ramen
395,Epitaph
394,Crush Music
393,Crush Music/Atlantic
392,Spinefarm Records UK
391,Universal (MT)
390,Matador
389,Neon Records/Big Beat/Atlantic
388,OWSLA/Big Beat/ATL
387,OWSLA/Mad Decent
386,Trigger Productions Inc.
385,Liberator Music
384,earMUSIC
383,Sting - Classical Hits Album
382,A&M/Interscope Records
381,Sting
380,Epic/Associated/Legacy
379,Nibelung Records
378,Magna Carta Records
377,Star City
376,InsideOutMusic
375,Warlock Records
374,TOTO Recordings
373,ST2
372,FRONTIERS RECORDS Licensed by Frontiers Records s.r.l.
371,Mercury Records Limited
370,Windsong
369,Bushbranch/Surfdog
368,Bushbranch / Surfdog
367,OBD
366,Castle Communications
365,Virgin
364,Delta
363,One Media iP Group
362,Arista/Legacy
361,P.E.R Recordings
360,Golden Ear Music
359,Brasileira Vintage Records
358,Sony BMG Music Entertainment
357,Sony Music Media
356,Crossroads Entertainment
355,Sony Music UK
354,Sony BMG Music UK
353,hatbox
352,Grateful Dead/Rhino
351,Hallmark
350,RReMark
349,New Door Records
348,The Temptations
347,Original R&B Collection
346,Old Europe
345,Golden Melody Music
344,Before 1962 Recordings
343,Flashback Digital NZ Pty Ltd
342,Novoson SL
341,Blackened Recordings
340,Blackened Recordings / Universal Music
339,Orbit
338,Sony Wonder
337,Shockwaves
336,Tanuki
335,Wayfarer Studios/Interscope Records
334,Mosley Music/Interscope Records
333,Chrysalis UK
332,Farrell Music Ltd
331,Legacy/Columbia
330,"ABKCO Music & Records, Inc."
329,The Animals
328,Woodstock Tape
327,Stiletto Discs
326,Polydor Ltd. (UK)
325,Exile Productions/RCA Records
324,Exile Productions Ltd.
323,Exile
322,FRANK SINATRA HYBRID
321,Jube Legends
320,FRANK SINATRA DIGITAL REPRISE
319,Phonogenic
318,Epic/Phonogenic
317,WM Indonesia
316,The Killers - 2020 P&D/ Island
315,Custard/Atlantic
314,WM UK
313,Immortal/Epic
312,Immortal Records
311,Epic/Immortal
310,Euromax
309,Songtek
308,Golden Rain
307,Craft Recordings
306,Big Brother Recordings Ltd
305,Domino/Warner Records
304,EMI Recorded Music Australia Pty Ltd
303,Domino Recording Co
302,UMGRI Interscope
301,Sony Classical
300,Dreyfus Jazz
299,Black Swan
298,Dot Time Legends
297,Planet Blue Records
296,JPK Musik
295,"UMG Recordings, Inc."
294,Intense Media GmbH
293,Red Zone Entertainment / IDJ
292,Boys Don't Cry
291,Glassnote
290,Glassnote Entertainment Group LLC
289,Glassnote Entertainment Group LLC. Under exclusive license to The David Gresham Record Company for Africa
288,Wolf+Rothstein/RCA Records
287,The SLAMjamz Recording Company
286,Guerrilla Funk Recordings
285,SLAMjamz
284,The SpitSLAM Record Label Group
283,Public Enemy PS/ Def Jam
282,Universal Music Group International
281,Tangerine
280,SPV
279,Concord Records
278,BDMUSIC
277,Brunswick
276,Warner Music Group - X5 Music Group
275,Tangerine Records
274,Sonic Boom
273,Elektra Records
272,Rhino/Elektra
271,Roadrunner Records/Nickelback
270,Roadrunner Records
269,"Nickelback II Productions, Inc."
268,SMOKIN'
267,ODL
266,Island Mercury
265,Verve Reissues
264,Polydor
263,Revolver Records
262,X5 Music Group
261,New West Records
260,Sun Records
259,American Recordings Catalog P&D
258,Columbia Nashville Legacy
257,Curb Records
256,Mercury Nashville
255,Omnivore Recordings
254,Eagle Rock/Eagle Records
253,UME Direct
252,London Calling
251,Pink Floyd Records
250,Pink Floyd Music
249,earMUSIC Classics
248,Hip-O Select
247,Rhino/Parlophone
246,Sunny Side of the Street
245,RCA Victor/Legacy
244,Good Music
243,Wet Music / San Juan
242,"NPG Records, Inc."
241,NPG Records
240,CAPITOL CATALOG MKT (C92)
239,ARC
238,Calderstone
237,EMI Catalogue
236,"Blackground Records, LLC"
235,Interscope/Blackground Records
234,Timbaland
233,J Records/Legacy
232,J Records
231,SRC Records
230,Konvict/Upfront/SRC/Universal Records
229,"Kon Live Distribution, LLC"
228,Akonik Label Group
227,Konvict Kulture
226,Universal Music Spain S.L.
225,Mosley / Geffen
224,Universal Music Latino
223,Mosley / Interscope
222,Nelstar Music Inc.
221,RCA/Legacy
220,Cinematic Music Group
219,Jive/Legacy
218,Poe Boy/Atlantic
217,SODMG Records/PTE
216,Black Market Records
215,SODMG Records/Palm Tree Ent
214,Young L Productions
213,Sippi Boy Entertainment
212,SODMG
211,SODMG Records/Palm Tree Entertainment
210,SODMG Records
209,Shady/Aftermath/Interscope Records
208,Kid Cudi/Universal Records
207,Wicked Awesome/Kid Cudi
206,Decaydance/Fueled By Ramen/ATL
205,Decaydance/Fueled By Ramen
204,Roc-A-Fella
203,Roc Nation/RocAFella/IDJ
202,Roc Nation / Jay-Z
201,Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ
200,Rock The World/IDJ/Kanye/LP6
199,"Getting Out Our Dreams, Inc./Def Jam Recordings"
198,Getting Out Our Dreams II / Def Jam Recordings
197,Rock The World/IDJ/Kanye LP7
196,Music World Music/Columbia
195,Parkwood Entertainment/Columbia
194,RAL (Rush Associated Label)
193,Def Jam South
192,"Disturbing Tha Peace Recordings, Inc."
191,Disturbing tha Peace
190,"Up All Nite Music, LLC"
189,BME Recordings
188,Lil Jon/Universal Republic
187,Arista/LaFace Records
186,Arista
185,LaFace Records
184,Brand Usher/RCA Records
183,Sony Latin
182,Sony Music Latin/Epic
181,RCA/Sony Latin Iberia
180,Sony Music Latin
179,Atlantic/Parlophone
178,Parlophone (France)
177,Interscope Records*
176,Geffen*
175,Mary J Blige PS
174,Capitol Records (CAP)
173,Universal Music Enterprises
172,Universal Records
171,Priority Records
170,BMG Rights Management GmbH
169,Nuyorican Productions / IDJ
168,"Nuyorican Productions, Inc."
167,Vorsicht Musik
166,UNICADE music
165,Ariola Express
164,Ariola
163,Electrola
162,Parlophone Catalogue
161,SBK/EMI RECORDS
160,Republic
159,Liquid 8 Records
158,Ultrax Records
157,X-Ray Records
156,Radium Records Inc.
155,EMI/EMI Records (USA)
154,Giant
153,Zero Live
152,Dundridge Entertainment / Unlimited Business
151,Stones Throw Records
150,Dundridge Entertainment/Unlimited Business
149,Felder Entertainment Inc.
148,Ca$h Machine Records
147,All The Time Entertainment
146,Doggystyle Records / EMPIRE
145,Doggy Style Records
